datum;kraj_kod;kraj;pohlavi_kod;druh_duchodu_kod;pocet_duchodcu;prumerna_vyse_duchodu;prumerna_vyse_srazky;prumerny_vek
31.01.2016;VC.108;Kraj Vysočina;F;PK_DISABILITY_S8;406;9158;1685;51
31.01.2016;VC.108;Kraj Vysočina;F;PK_OLDAGE_S8;939;9984;1615;67
31.01.2016;VC.108;Kraj Vysočina;F;PK_PENSIONS_T1;1382;9671;1641;62
31.01.2016;VC.108;Kraj Vysočina;F;PK_POZ;37;7336;1835;56
31.01.2016;VC.108;Kraj Vysočina;M;PK_DISABILITY_S8;699;9212;1616;51
31.01.2016;VC.108;Kraj Vysočina;M;PK_OLDAGE_S8;824;10963;2141;67
31.01.2016;VC.108;Kraj Vysočina;M;PK_PENSIONS_T1;1529;10143;1897;60
31.01.2016;VC.108;Kraj Vysočina;M;PK_POZ;6;6042;1110;51
31.01.2016;VC.108;Kraj Vysočina;T;PK_DISABILITY_S8;1105;9192;1642;51
31.01.2016;VC.108;Kraj Vysočina;T;PK_OLDAGE_S8;1763;10442;1861;67
31.01.2016;VC.108;Kraj Vysočina;T;PK_PENSIONS_T1;2911;9919;1776;60
31.01.2016;VC.108;Kraj Vysočina;T;PK_POZ;43;7155;1734;56
31.01.2016;VC.116;Jihomoravský kraj;F;PK_DISABILITY_S8;1185;8687;1578;50
31.01.2016;VC.116;Jihomoravský kraj;F;PK_OLDAGE_S8;2626;9874;1580;67
31.01.2016;VC.116;Jihomoravský kraj;F;PK_PENSIONS_T1;3915;9445;1574;62
31.01.2016;VC.116;Jihomoravský kraj;F;PK_POZ;104;7279;1377;57
31.01.2016;VC.116;Jihomoravský kraj;M;PK_DISABILITY_S8;1894;8905;1570;51
31.01.2016;VC.116;Jihomoravský kraj;M;PK_OLDAGE_S8;2229;10681;1912;67
31.01.2016;VC.116;Jihomoravský kraj;M;PK_PENSIONS_T1;4133;9857;1753;60
31.01.2016;VC.116;Jihomoravský kraj;M;PK_POZ;10;6413;1097;38
31.01.2016;VC.116;Jihomoravský kraj;T;PK_DISABILITY_S8;3079;8821;1573;51
31.01.2016;VC.116;Jihomoravský kraj;T;PK_OLDAGE_S8;4855;10244;1732;67
31.01.2016;VC.116;Jihomoravský kraj;T;PK_PENSIONS_T1;8048;9657;1666;61
31.01.2016;VC.116;Jihomoravský kraj;T;PK_POZ;114;7203;1353;56
31.01.2016;VC.124;Olomoucký kraj;F;PK_DISABILITY_S8;577;8608;2287;50
31.01.2016;VC.124;Olomoucký kraj;F;PK_OLDAGE_S8;1695;9758;1980;66
31.01.2016;VC.124;Olomoucký kraj;F;PK_PENSIONS_T1;2352;9387;2049;62
31.01.2016;VC.124;Olomoucký kraj;F;PK_POZ;80;7167;1786;55
31.01.2016;VC.124;Olomoucký kraj;M;PK_DISABILITY_S8;970;8940;2031;51
31.01.2016;VC.124;Olomoucký kraj;M;PK_OLDAGE_S8;1385;10434;2019;67
31.01.2016;VC.124;Olomoucký kraj;M;PK_PENSIONS_T1;2364;9808;2026;60
